sample_ID1	sample_ID2	Total_cM	Segment_Count
NA18489	NA18862	4.474	1
NA18489	NA18863	4.466	1
NA18489	NA18873	3.939	1
NA18489	NA18875	3.276	1
NA18489	NA18877	3.936	1
NA18489	NA18878	3.577	1
NA18489	NA18881	8.204	2
NA18489	NA18909	2.471	1
NA18489	NA18910	4.986	1
NA18489	NA18911	4.725	1
NA18489	NA18912	2.492	1
NA18489	NA18914	2.492	1
NA18489	NA18916	4.488	1
NA18489	NA18917	2.298	1
NA18489	NA18934	2.626	1
NA18489	NA18935	2.626	1
NA18489	NA19096	5.691	1
NA18489	NA19097	5.686	1
NA18489	NA19108	5.693	1
NA18489	NA19109	5.693	1
NA18489	NA19114	5.686	1
NA18489	NA19115	4.468	1
NA18489	NA19116	3.275	1
NA18489	NA19120	3.444	1
NA18489	NA19121	10.424	2
NA18489	NA19127	2.165	1
NA18489	NA19128	2.495	1
NA18489	NA19129	2.495	1
NA18489	NA19130	2.165	1
NA18489	NA19132	2.165	1
NA18489	NA19137	5.686	1
NA18489	NA19140	3.679	1
NA18489	NA19146	4.437	1
NA18489	NA19150	4.025	1
NA18489	NA19153	6.902	2
NA18489	NA19171	4.496	1
NA18489	NA19172	4.142	1
NA18489	NA19173	7.683	2
NA18489	NA19176	10.153	2
NA18489	NA19177	10.183	2
NA18489	NA19184	4.437	1
NA18489	NA19186	2.49	1
NA18489	NA19189	2.165	1
NA18489	NA19190	2.516	1
NA18489	NA19191	2.516	1
NA18489	NA19204	2.065	1
NA18489	NA19205	2.041	1
NA18489	NA19224	5.686	1
NA18489	NA19225	5.686	1
NA18489	NA19226	4.433	1
NA18489	NA19236	4.434	1
NA18489	NA19237	4.434	1
NA18489	NA19238	5.688	1
NA18489	NA19249	4.468	1
NA18497	NA18486	5.383	1
NA18497	NA18487	7.396	1
NA18497	NA18498	605.099	170
NA18497	NA18499	655.515	175
NA18497	NA18500	11.735	2
NA18497	NA18501	8.007	2
NA18497	NA18505	4.36	1
NA18497	NA18506	4.018	1
NA18497	NA18507	12.396	3
NA18497	NA18517	7.66	1
NA18497	NA18518	11.822	2
NA18497	NA18520	4.166	1
NA18497	NA18521	13.532	2
NA18497	NA18853	4.553	1
NA18497	NA18861	5.546	1
NA18497	NA18862	9.658	2
NA18497	NA18865	6.237	1
NA18497	NA18867	7.97	1
NA18497	NA18872	4.287	1
NA18497	NA18873	5.51	2
NA18497	NA18874	8.748	2
NA18497	NA18877	2.359	1
NA18497	NA18878	17.246	3
NA18497	NA18879	5.547	1
NA18497	NA18881	4.993	1
NA18497	NA18906	7.398	1
NA18497	NA18909	6.536	1
NA18497	NA18911	13.364	2
NA18497	NA18912	3.035	1
NA18497	NA18913	2.357	1
NA18497	NA18916	3.589	1
NA18497	NA18917	7.398	1
NA18497	NA18923	2.357	1
NA18497	NA18924	4.408	2
NA18497	NA18925	2.356	1
NA18497	NA18930	7.741	1
NA18497	NA18935	10.596	2
NA18497	NA19092	2.762	1
NA18497	NA19093	7.397	1
NA18497	NA19096	5.033	1
NA18497	NA19097	11.686	2
NA18497	NA19098	12.611	3
NA18497	NA19100	13.099	2
NA18497	NA19101	5.557	1
NA18497	NA19109	7.736	1
NA18497	NA19113	15.41	2
NA18497	NA19116	5.633	2
NA18497	NA19117	6.674	1
NA18497	NA19118	6.473	1
NA18497	NA19120	9.981	2
NA18497	NA19123	7.663	1
NA18497	NA19128	4.975	1
NA18497	NA19129	6.888	1
NA18497	NA19130	7.14	2
NA18497	NA19131	2.702	1
NA18497	NA19132	15.182	3
NA18497	NA19137	5.06	1
NA18497	NA19142	10.215	2
NA18497	NA19143	4.363	1
NA18497	NA19144	6.537	1
NA18497	NA19149	8.425	2
NA18497	NA19150	2.357	1
NA18497	NA19151	7.66	1
NA18497	NA19154	4.241	1
NA18497	NA19159	5.041	1
NA18497	NA19161	7.663	1
NA18497	NA19173	12.293	2
NA18497	NA19174	7.739	1
NA18497	NA19175	7.663	1
NA18497	NA19185	3.017	1
NA18497	NA19186	11.691	2
NA18497	NA19199	9.535	2
NA18497	NA19201	6.538	1
NA18497	NA19202	6.7	2
NA18497	NA19205	10.23	2
